nama_provinsi;luas_panen;produksi
Prov. Nanggroe Aceh Darussalam;16756;19056
Prov. Sumatera Utara;24607;24801
Prov. Sumatera Barat;7229;6894
Prov. Riau;3656;3799
Prov. Jambi;3131;3405
Prov. Sumatera Selatan;18199;18854
Prov. Bengkulu;8770;8594
Prov. Lampung;10820;12123
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;27;28
Prov. Jawa Barat;89306;97780
Prov. Jawa Tengah;113920;117692
Prov. D I Yogyakarta;36106;30762
Prov. Jawa Timur;156080;158958
Prov. Banten;0;0
Prov. Bali;11870;13936
Prov. Nusa Tenggara Barat;19920;22153
Prov. Nusa Tenggara Timur;7424;6284
Prov. Kalimantan Barat;2388;1865
Prov. Kalimantan Tengah;994;1105
Prov. Kalimantan Selatan;14311;12671
Prov. Kalimantan Timur;3406;3330
Prov. Sulawesi Utara;4932;4690
Prov. Sulawesi Tengah;5029;4289
Prov. Sulawesi Selatan;48387;49036
Prov. Sulawesi Tenggara;5255;4645
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;5037;5677
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3528;3304
Prov. Nanggroe Aceh Darussalam;18939;23380
Prov. Sumatera Utara;27556;28134
Prov. Sumatera Barat;9649;9523
Prov. Riau;5030;4556
Prov. Jambi;3270;2658
Prov. Sumatera Selatan;10490;10322
Prov. Bengkulu;8002;6861
Prov. Lampung;9801;10294
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;7;7
Prov. Jawa Barat;89327;98286
Prov. Jawa Tengah;111738;112658
Prov. D I Yogyakarta;46224;37118
Prov. Jawa Timur;148737;139405
Prov. Banten;0;0
Prov. Bali;13515;14300
Prov. Nusa Tenggara Barat;22553;24077
Prov. Nusa Tenggara Timur;9805;6180
Prov. Kalimantan Barat;2549;2219
Prov. Kalimantan Tengah;1070;1001
Prov. Kalimantan Selatan;14529;13595
Prov. Kalimantan Timur;3321;2903
Prov. Sulawesi Utara;7611;7494
Prov. Sulawesi Tengah;7781;6547
Prov. Sulawesi Selatan;54031;53249
Prov. Sulawesi Tenggara;5699;5370
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;3832;4250
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3225;2980
Prov. Nanggroe Aceh Darussalam;30601;32517
Prov. Sumatera Utara;31751;32115
Prov. Sumatera Barat;10315;9842
Prov. Riau;4579;4354
Prov. Jambi;3673;4053
Prov. Sumatera Selatan;15176;17897
Prov. Bengkulu;9616;8920
Prov. Lampung;16947;20470
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;8;8
Prov. Jawa Barat;105145;117408
Prov. Jawa Tengah;129970;136847
Prov. D I Yogyakarta;42384;35869
